mA,V,time
471.20000000000005,4.772,1589563254.5093758
470.8,4.772,1589563254.577046
470.90000000000003,4.772,1589563254.6453924
471.0,4.772,1589563254.7124739
470.8,4.772,1589563254.7795248
471.6,4.772,1589563254.8471725
470.8,4.772,1589563254.9143403
470.8,4.772,1589563254.9804058
470.70000000000005,4.772,1589563255.0474415
470.6,4.772,1589563255.1150792
471.1,4.772,1589563255.1821072
470.8,4.772,1589563255.24912
470.40000000000003,4.772,1589563255.3166928
470.6,4.772,1589563255.383807
470.90000000000003,4.772,1589563255.4508584
470.6,4.772,1589563255.517822
471.1,4.772,1589563255.5843487
470.70000000000005,4.772,1589563255.6514072
470.70000000000005,4.772,1589563255.7184215
470.70000000000005,4.772,1589563255.7860386
470.70000000000005,4.772,1589563255.8531897
470.8,4.772,1589563255.9201632
470.70000000000005,4.772,1589563255.987158
470.5,4.772,1589563256.0536878
471.1,4.772,1589563256.1218445
470.70000000000005,4.772,1589563256.188894
470.90000000000003,4.772,1589563256.255328
470.6,4.772,1589563256.3223917
470.8,4.772,1589563256.3894074
470.90000000000003,4.772,1589563256.4564552
470.5,4.772,1589563256.5240774
471.0,4.772,1589563256.591174
471.0,4.772,1589563256.6582267
471.0,4.772,1589563256.7246823
471.0,4.772,1589563256.7918544
471.0,4.772,1589563256.858913
470.90000000000003,4.772,1589563256.9260173
485.70000000000005,4.772,1589563256.9932349
533.5,4.772,1589563257.060406
471.70000000000005,4.772,1589563257.127549
470.90000000000003,4.772,1589563257.1941106
470.8,4.772,1589563257.2614205
470.40000000000003,4.772,1589563257.3286078
470.6,4.772,1589563257.3963277
470.5,4.772,1589563257.463508
470.90000000000003,4.772,1589563257.5294697
470.90000000000003,4.772,1589563257.5966034
470.8,4.772,1589563257.6643548
470.8,4.772,1589563257.7314603
470.8,4.772,1589563257.7983758
470.5,4.772,1589563257.865002
471.1,4.772,1589563257.9321208
470.90000000000003,4.772,1589563257.9991736
470.3,4.772,1589563258.0663302
470.5,4.772,1589563258.1341143
470.70000000000005,4.772,1589563258.2012851
470.6,4.772,1589563258.268297
470.8,4.772,1589563258.3347592
470.70000000000005,4.772,1589563258.4019434
470.6,4.772,1589563258.4689877
470.6,4.772,1589563258.5360718
470.70000000000005,4.772,1589563258.60371
470.70000000000005,4.772,1589563258.6708014
470.8,4.772,1589563258.7377973
470.70000000000005,4.772,1589563258.8044162
471.40000000000003,4.772,1589563258.8715417
471.0,4.772,1589563258.938678
470.8,4.772,1589563259.005854
470.70000000000005,4.772,1589563259.0723987
470.70000000000005,4.772,1589563259.1405888
471.0,4.772,1589563259.2065897
470.70000000000005,4.772,1589563259.274324
470.8,4.772,1589563259.341412
470.5,4.772,1589563259.408579
470.90000000000003,4.772,1589563259.475782
470.8,4.772,1589563259.542338
470.40000000000003,4.772,1589563259.6094954
470.8,4.772,1589563259.6766534
470.6,4.772,1589563259.7444372
531.8000000000001,4.772,1589563259.8104465
487.90000000000003,4.772,1589563259.8775327
470.8,4.772,1589563259.944663
470.5,4.772,1589563260.0123577
470.8,4.772,1589563260.0794702
470.6,4.772,1589563260.1465535
470.40000000000003,4.772,1589563260.2142828
470.6,4.772,1589563260.2802496
471.1,4.772,1589563260.3472776
470.8,4.772,1589563260.4143658
470.70000000000005,4.772,1589563260.4820542
470.8,4.772,1589563260.549191
470.70000000000005,4.772,1589563260.616312
470.8,4.772,1589563260.68305
470.90000000000003,4.772,1589563260.7500696
470.70000000000005,4.772,1589563260.8171377
470.70000000000005,4.772,1589563260.8842893
470.40000000000003,4.772,1589563260.950788
470.0,4.772,1589563261.017856
470.6,4.772,1589563261.085071
469.8,4.772,1589563261.152795
470.0,4.772,1589563261.219884
470.1,4.772,1589563261.2869694
469.8,4.772,1589563261.3541317
470.20000000000005,4.772,1589563261.4206493
470.1,4.772,1589563261.4878168
469.90000000000003,4.772,1589563261.554975
469.90000000000003,4.772,1589563261.6229045
470.20000000000005,4.772,1589563261.6889665
470.1,4.772,1589563261.756108
470.0,4.772,1589563261.823273
469.90000000000003,4.772,1589563261.8909633
469.8,4.772,1589563261.9580417
470.20000000000005,4.772,1589563262.025184
470.20000000000005,4.772,1589563262.0918176
470.1,4.772,1589563262.1589398
470.1,4.772,1589563262.2260835
470.0,4.772,1589563262.2932653
469.90000000000003,4.772,1589563262.3597717
470.1,4.772,1589563262.4269202
470.20000000000005,4.772,1589563262.4940715
514.0,4.772,1589563262.5617716
503.8,4.772,1589563262.6289535
469.8,4.772,1589563262.6949363
469.90000000000003,4.772,1589563262.7620513
470.0,4.772,1589563262.8297195
469.8,4.772,1589563262.896787
469.90000000000003,4.772,1589563262.9639797
470.0,4.772,1589563263.0317912
470.0,4.772,1589563263.0978045
471.1,4.772,1589563263.165489
470.20000000000005,4.772,1589563263.232694
469.90000000000003,4.772,1589563263.2991824
470.0,4.772,1589563263.3663847
470.0,4.772,1589563263.4335606
469.90000000000003,4.772,1589563263.5008738
470.1,4.772,1589563263.567472
470.0,4.772,1589563263.63472
469.8,4.772,1589563263.702019
470.1,4.772,1589563263.7685156
469.90000000000003,4.772,1589563263.8356695
470.1,4.772,1589563263.9028926
470.0,4.772,1589563263.9700284
469.90000000000003,4.772,1589563264.0365844
469.90000000000003,4.772,1589563264.1038969
469.90000000000003,4.772,1589563264.170957
470.0,4.772,1589563264.238673
469.90000000000003,4.772,1589563264.3059592
470.0,4.772,1589563264.3720036
469.8,4.772,1589563264.440193
