task,time
start v1 0,1584381161.6769083
click,1584381170.361903
click,1584381173.3013349
stop v1 0,1584381180.485759
start v2 0,1584381210.5200665
click,1584381219.913999
click,1584381221.2257042
click,1584381222.3008177
click,1584381223.2988205
click,1584381224.271887
click,1584381225.387219
stop v2 0,1584381228.5556333
start v1 1,1584381258.5694237
click,1584381268.02279
click,1584381271.073515
stop v1 1,1584381275.9027386
start v2 1,1584381305.9374323
click,1584381314.6414075
click,1584381316.6962562
click,1584381317.871924
click,1584381319.2838402
stop v2 1,1584381322.3941705
start v1 2,1584381352.42903
click,1584381361.2975183
click,1584381364.1997578
stop v1 2,1584381369.2084405
start v2 2,1584381399.2480605
click,1584381409.2102528
click,1584381410.3940177
click,1584381411.4880779
click,1584381412.614225
click,1584381413.5815046
click,1584381414.6698387
stop v2 2,1584381418.4149227
start v1 3,1584381448.4559915
click,1584381458.4671245
click,1584381461.7748227
stop v1 3,1584381478.7111926
start v2 3,1584381508.7460957
click,1584381516.9000556
click,1584381518.461869
click,1584381519.372094
click,1584381520.2579074
click,1584381521.1639338
click,1584381522.06011
stop v2 3,1584381525.018143
