task,time
start v1 0,1584379945.78287
click,1584379954.4099646
click,1584379957.3977063
stop v1 0,1584379962.673464
start v2 0,1584379992.708184
click,1584380002.3228805
click,1584380003.5199819
click,1584380004.8843377
click,1584380005.7978532
click,1584380006.66501
click,1584380007.5620365
stop v2 0,1584380010.7554514
start v1 1,1584380040.7900684
click,1584380050.3601403
click,1584380052.9127212
stop v1 1,1584380057.6498618
start v2 1,1584380087.6655307
click,1584380097.3546593
click,1584380098.97371
click,1584380099.9199493
click,1584380100.863487
click,1584380101.788297
click,1584380102.820974
stop v2 1,1584380105.7980454
start v1 2,1584380135.8332915
click,1584380145.3131354
click,1584380148.6739156
stop v1 2,1584380153.3633761
start v2 2,1584380183.3798223
click,1584380191.9851997
click,1584380193.2315176
click,1584380194.2944424
click,1584380195.2416239
click,1584380196.1566021
click,1584380197.036501
stop v2 2,1584380199.9760747
start v1 3,1584380230.011039
click,1584380238.7515824
click,1584380242.2667396
stop v1 3,1584380246.7255847
start v2 3,1584380276.7644188
click,1584380286.6514454
click,1584380287.8571
click,1584380288.7932918
click,1584380289.7058272
click,1584380290.645971
click,1584380291.9137259
stop v2 3,1584380295.1296575
