datetime,solarVoltage,solarCurrent,solarPowerL,solarPowerH,batteryVoltage,batteryCurrent,batteryPowerL,batteryPowerH,loadVoltage,loadCurrent,loadPower,batteryPercentage
2020-05-15 14:00:30.089197,17.64,0.08,1.58,0.0,14.38,0.11,1.58,0.0,14.38,0.0,0.0,1.0
2020-05-15 14:01:30.199819,18.35,0.1,1.86,0.0,14.38,0.13,1.86,0.0,14.38,0.0,0.0,1.0
2020-05-15 14:02:30.344853,17.77,0.08,1.43,0.0,14.33,0.1,1.43,0.0,14.33,0.0,0.0,1.0
