PV voltage,PV current,PV power L,PV power H,battery voltage,charge current,charge power L,charge power H,load voltage,load current,load power,battery percentage,time,date
13.73,0.06,0.87,0.0,12.57,0.07,0.87,0.0,12.57,0.0,0.0,0.54,14:51:22.911688,2020-03-02
13.73,0.06,0.87,0.0,12.55,0.07,0.87,0.0,12.55,0.0,0.0,0.53,14:52:23.046189,2020-03-02
