PV voltage,PV current,PV power L,PV power H,battery voltage,charge current,charge power L,charge power H,load voltage,load current,load power,battery percentage,time,date
10.95,0.02,0.31,0.0,7.82,0.04,0.31,0.0,7.82,0.0,0.0,0.0,12:28:04.832866,2020-03-12
8.0,0.02,0.22,0.0,7.63,0.03,0.22,0.0,7.63,0.0,0.0,0.0,12:29:04.962092,2020-03-12
11.8,0.02,0.31,0.0,7.77,0.04,0.31,0.0,7.77,0.0,0.0,0.0,12:30:05.207659,2020-03-12
14.78,0.02,0.38,0.0,7.61,0.05,0.38,0.0,7.61,0.0,0.0,0.0,12:31:05.428307,2020-03-12
7.34,0.0,0.0,0.0,7.27,0.0,0.0,0.0,7.27,0.0,0.0,0.0,12:32:05.702663,2020-03-12
16.54,0.01,0.21,0.0,7.11,0.03,0.21,0.0,7.11,0.0,0.0,0.0,12:33:05.922631,2020-03-12
14.19,0.01,0.28,0.0,7.01,0.04,0.28,0.0,7.01,0.0,0.0,0.0,12:34:06.149826,2020-03-12
