mA,V,time
600.2,4.852,1584381071.695834
600.0,4.852,1584381071.7631438
600.0,4.852,1584381071.8300035
599.1,4.852,1584381071.8972623
600.6,4.852,1584381071.964637
599.8000000000001,4.852,1584381072.031677
600.0,4.852,1584381072.098586
600.6,4.852,1584381072.1656609
600.4,4.852,1584381072.2330012
599.1,4.852,1584381072.30262
599.7,4.852,1584381072.3694508
600.1,4.852,1584381072.4364796
599.9,4.852,1584381072.5036473
601.3000000000001,4.852,1584381072.5709538
599.6,4.852,1584381072.6379595
600.3000000000001,4.852,1584381072.7052317
601.0,4.852,1584381072.7720938
599.9,4.852,1584381072.8390937
600.1,4.852,1584381072.906065
600.4,4.852,1584381072.972965
599.5,4.852,1584381073.0403216
599.7,4.852,1584381073.1073904
600.1,4.852,1584381073.1744895
600.2,4.852,1584381073.2420382
599.8000000000001,4.852,1584381073.3089793
599.5,4.852,1584381073.3761485
600.1,4.852,1584381073.4431016
601.4,4.852,1584381073.5106509
599.7,4.852,1584381073.5776627
600.3000000000001,4.852,1584381073.6448312
600.0,4.852,1584381073.7116098
600.6,4.852,1584381073.779119
601.6,4.852,1584381073.8462746
600.4,4.852,1584381073.9130363
600.4,4.852,1584381073.9805114
599.8000000000001,4.852,1584381074.047334
599.9,4.852,1584381074.1141655
601.2,4.852,1584381074.181032
601.1,4.852,1584381074.2485673
599.6,4.852,1584381074.315582
600.8000000000001,4.852,1584381074.3835115
600.6,4.852,1584381074.4497695
600.1,4.852,1584381074.5167983
601.3000000000001,4.852,1584381074.5836918
600.7,4.852,1584381074.6515872
600.2,4.852,1584381074.7180243
600.3000000000001,4.852,1584381074.7851403
600.1,4.852,1584381074.8530781
600.4,4.852,1584381074.9194827
600.2,4.852,1584381074.9865541
599.7,4.852,1584381075.0545998
600.3000000000001,4.852,1584381075.1215389
599.6,4.852,1584381075.1880734
600.7,4.852,1584381075.2550387
599.6,4.852,1584381075.3231304
600.6,4.852,1584381075.3894956
600.9,4.852,1584381075.4565616
601.2,4.852,1584381075.5235136
599.7,4.852,1584381075.5915272
601.2,4.852,1584381075.658397
601.3000000000001,4.852,1584381075.725385
599.6,4.852,1584381075.792192
601.2,4.852,1584381075.8596702
599.8000000000001,4.852,1584381075.9268477
599.7,4.852,1584381075.9937527
601.3000000000001,4.852,1584381076.0606732
600.5,4.852,1584381076.1284926
600.6,4.852,1584381076.1954453
599.6,4.852,1584381076.262251
601.4,4.852,1584381076.3297062
599.9,4.852,1584381076.3965752
601.0,4.852,1584381076.4634306
599.7,4.852,1584381076.5301683
601.1,4.852,1584381076.597715
601.2,4.852,1584381076.6649144
600.2,4.852,1584381076.7316058
599.6,4.852,1584381076.7991548
599.8000000000001,4.852,1584381076.8661106
600.0,4.852,1584381076.933987
600.6,4.852,1584381077.0006444
599.8000000000001,4.852,1584381077.0681484
600.2,4.852,1584381077.1350813
600.1,4.852,1584381077.201787
600.3000000000001,4.852,1584381077.2685158
599.5,4.852,1584381077.336564
599.6,4.852,1584381077.4034696
600.4,4.852,1584381077.4704216
600.5,4.852,1584381077.538069
599.8000000000001,4.852,1584381077.6050646
599.3000000000001,4.852,1584381077.6719398
601.9,4.852,1584381077.7386065
599.8000000000001,4.852,1584381077.8057394
599.8000000000001,4.852,1584381077.8725975
601.3000000000001,4.852,1584381077.94078
599.4,4.852,1584381078.0141237
600.1,4.852,1584381078.072232
601.0,4.852,1584381078.139576
599.7,4.852,1584381078.206845
600.1,4.852,1584381078.2736354
600.3000000000001,4.852,1584381078.341018
600.1,4.852,1584381078.4081552
601.4,4.852,1584381078.4749372
599.7,4.852,1584381078.5420053
600.8000000000001,4.852,1584381078.609388
601.4,4.852,1584381078.676615
600.0,4.852,1584381078.7455924
601.1,4.852,1584381078.8125408
599.8000000000001,4.852,1584381078.8798218
599.7,4.852,1584381078.946687
600.2,4.852,1584381079.0145535
599.2,4.852,1584381079.0813878
599.7,4.852,1584381079.1488016
600.0,4.852,1584381079.2156475
600.3000000000001,4.852,1584381079.282556
599.3000000000001,4.852,1584381079.3492157
599.8000000000001,4.852,1584381079.4167657
600.2,4.852,1584381079.4837487
600.1,4.852,1584381079.5516682
599.6,4.852,1584381079.6179283
599.8000000000001,4.852,1584381079.6849067
600.6,4.852,1584381079.7530298
600.5,4.852,1584381079.8198392
599.9,4.852,1584381079.8864017
599.6,4.852,1584381079.9534876
599.9,4.852,1584381080.0213783
600.7,4.852,1584381080.0878582
600.2,4.852,1584381080.1548738
599.9,4.852,1584381080.2218728
599.8000000000001,4.852,1584381080.2888558
599.8000000000001,4.852,1584381080.3563988
600.3000000000001,4.852,1584381080.423497
599.6,4.852,1584381080.4903948
601.3000000000001,4.852,1584381080.5579329
600.2,4.852,1584381080.6249354
600.1,4.852,1584381080.6918733
599.7,4.852,1584381080.7588346
600.6,4.852,1584381080.8264952
600.4,4.852,1584381080.8936598
601.2,4.852,1584381080.9604144
599.7,4.852,1584381081.027929
599.8000000000001,4.852,1584381081.0951874
600.1,4.852,1584381081.1619694
600.7,4.852,1584381081.2288125
600.9,4.852,1584381081.2964103
600.6,4.852,1584381081.3631034
600.1,4.852,1584381081.4298732
601.3000000000001,4.852,1584381081.4973614
599.7,4.852,1584381081.5643456
599.5,4.852,1584381081.632355
600.0,4.852,1584381081.6993804
599.9,4.852,1584381081.765996
599.9,4.852,1584381081.8326852
600.0,4.852,1584381081.900638
601.6,4.852,1584381081.966875
601.2,4.852,1584381082.0349448
599.7,4.852,1584381082.1017766
599.8000000000001,4.852,1584381082.1687
600.2,4.852,1584381082.2353349
600.7,4.852,1584381082.302542
601.0,4.852,1584381082.3705022
599.7,4.852,1584381082.4371297
600.2,4.852,1584381082.5041633
600.2,4.852,1584381082.5710394
600.4,4.852,1584381082.6391172
600.3000000000001,4.852,1584381082.7057838
600.2,4.852,1584381082.7726378
599.4,4.852,1584381082.8395295
601.2,4.852,1584381082.9075418
599.7,4.852,1584381082.9745462
599.1,4.852,1584381083.0414155
600.1,4.852,1584381083.1083908
599.1,4.852,1584381083.1760428
600.3000000000001,4.852,1584381083.243006
600.8000000000001,4.852,1584381083.309997
601.0,4.852,1584381083.376814
599.9,4.852,1584381083.443761
599.5,4.852,1584381083.5106266
600.3000000000001,4.852,1584381083.5787551
600.3000000000001,4.852,1584381083.6450038
601.0,4.852,1584381083.713003
600.1,4.852,1584381083.7797809
600.9,4.852,1584381083.8463273
601.0,4.852,1584381083.9141772
599.1,4.852,1584381083.9809759
600.2,4.852,1584381084.0480714
600.3000000000001,4.852,1584381084.115422
600.1,4.852,1584381084.182191
599.7,4.852,1584381084.248969
599.6,4.852,1584381084.3164566
600.4,4.852,1584381084.3843184
599.6,4.852,1584381084.451073
600.0,4.852,1584381084.5181108
599.6,4.852,1584381084.5856023
599.8000000000001,4.852,1584381084.6524851
599.9,4.852,1584381084.7195225
600.0,4.852,1584381084.7859843
599.4,4.852,1584381084.8540854
600.3000000000001,4.852,1584381084.92094
600.6,4.852,1584381084.9881105
599.9,4.852,1584381085.054434
599.5,4.852,1584381085.1225557
600.1,4.852,1584381085.1896145
600.9,4.852,1584381085.2561984
599.8000000000001,4.852,1584381085.3230095
600.0,4.852,1584381085.3910208
601.0,4.852,1584381085.457927
600.3000000000001,4.852,1584381085.5244355
599.2,4.852,1584381085.5913296
599.6,4.852,1584381085.6584365
600.3000000000001,4.852,1584381085.7260284
599.9,4.852,1584381085.7929022
599.5,4.852,1584381085.8600123
600.0,4.852,1584381085.9270391
601.1,4.852,1584381085.994736
599.5,4.852,1584381086.0615304
599.4,4.852,1584381086.128593
601.3000000000001,4.852,1584381086.196279
599.6,4.852,1584381086.262964
600.3000000000001,4.852,1584381086.329927
600.6,4.852,1584381086.396881
599.4,4.852,1584381086.4644568
601.4,4.852,1584381086.531185
599.9,4.852,1584381086.5992184
599.9,4.852,1584381086.6656039
600.1,4.852,1584381086.7334948
600.2,4.852,1584381086.8003266
600.6,4.852,1584381086.8672154
601.0,4.852,1584381086.9337006
600.0,4.852,1584381087.0015554
600.2,4.852,1584381087.0685787
600.0,4.852,1584381087.1352153
599.8000000000001,4.852,1584381087.2032223
601.2,4.852,1584381087.2702024
600.0,4.852,1584381087.337194
599.6,4.852,1584381087.4036858
600.0,4.852,1584381087.4707112
601.2,4.852,1584381087.5388336
599.7,4.852,1584381087.6052868
599.6,4.852,1584381087.6721506
599.3000000000001,4.852,1584381087.7391257
600.4,4.852,1584381087.807344
599.4,4.852,1584381087.8737524
599.8000000000001,4.852,1584381087.9407065
600.5,4.852,1584381088.007754
600.8000000000001,4.852,1584381088.075265
599.7,4.852,1584381088.142377
601.1,4.852,1584381088.2093787
600.3000000000001,4.852,1584381088.2763834
600.2,4.852,1584381088.3440704
599.8000000000001,4.852,1584381088.411197
598.9,4.852,1584381088.478048
599.3000000000001,4.852,1584381088.545571
601.2,4.852,1584381088.6126382
599.5,4.852,1584381088.6794803
600.9,4.852,1584381088.74638
601.1,4.852,1584381088.813852
599.9,4.852,1584381088.8807118
600.1,4.852,1584381088.9475472
600.5,4.852,1584381089.0151215
599.6,4.852,1584381089.0819633
599.9,4.852,1584381089.148855
600.5,4.852,1584381089.2168279
600.5,4.852,1584381089.2832806
601.3000000000001,4.852,1584381089.3511167
599.6,4.852,1584381089.4180295
601.4,4.852,1584381089.4844532
601.3000000000001,4.852,1584381089.5514605
599.7,4.852,1584381089.6195674
600.7,4.852,1584381089.686397
600.4,4.852,1584381089.753043
600.0,4.852,1584381089.8199022
601.3000000000001,4.852,1584381089.887943
599.8000000000001,4.852,1584381089.954499
601.0,4.852,1584381090.0214045
601.3000000000001,4.852,1584381090.0884242
599.6,4.852,1584381090.1565108
600.3000000000001,4.852,1584381090.2232568
600.0,4.852,1584381090.2900567
599.1,4.852,1584381090.3569047
600.3000000000001,4.852,1584381090.4245815
601.0,4.852,1584381090.4913745
599.4,4.852,1584381090.5583115
601.3000000000001,4.852,1584381090.625325
600.0,4.852,1584381090.6930218
600.6,4.852,1584381090.759893
601.2,4.852,1584381090.8268101
600.1,4.852,1584381090.8946958
601.4,4.852,1584381090.9614565
599.8000000000001,4.852,1584381091.028425
600.5,4.852,1584381091.0953374
600.7,4.852,1584381091.1626885
600.2,4.852,1584381091.2294986
600.9,4.852,1584381091.2965777
600.5,4.852,1584381091.3644319
599.8000000000001,4.852,1584381091.4312174
599.8000000000001,4.852,1584381091.498051
601.1,4.852,1584381091.5652843
599.4,4.852,1584381091.6326137
600.0,4.852,1584381091.6992707
599.9,4.852,1584381091.767243
600.6,4.852,1584381091.8342245
599.7,4.852,1584381091.9016738
601.1,4.852,1584381091.9686418
599.9,4.852,1584381092.0358062
599.5,4.852,1584381092.1021395
600.8000000000001,4.852,1584381092.169101
599.6,4.852,1584381092.2361848
598.9,4.852,1584381092.3042493
600.3000000000001,4.852,1584381092.3706641
600.3000000000001,4.852,1584381092.43764
600.4,4.852,1584381092.5048153
600.7,4.852,1584381092.5728843
600.3000000000001,4.852,1584381092.6392667
600.1,4.852,1584381092.7064636
